"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","14.Verify the filters - date imported","chromium","Fri Dec 27 23:50:03 IST 2024","skipped","Fri Dec 27 23:50:03 IST 2024","","InvoiceCreatNewfolder.spec.js","",""
"","1","4.Verify the search by folder name","chromium","Fri Dec 27 23:50:03 IST 2024","skipped","Fri Dec 27 23:50:03 IST 2024","","InvoiceCreatNewfolder.spec.js","",""
"","0","10.Verify the Search bar - by File name, invoice number, Vendor name","chromium","Fri Dec 27 23:50:03 IST 2024","skipped","Fri Dec 27 23:50:03 IST 2024","","InvoiceCreatNewfolder.spec.js","",""
"","0","2.Verify the creat new folder button","webkit","Fri Dec 27 23:50:03 IST 2024","skipped","Fri Dec 27 23:50:03 IST 2024","","InvoiceCreatNewfolder.spec.js","",""
"","0","7(b).  Invoice with multiple line items","webkit","Fri Dec 27 23:50:03 IST 2024","skipped","Fri Dec 27 23:50:03 IST 2024","","InvoiceCreatNewfolder.spec.js","",""
"","0","6. Click and open the folder","firefox","Fri Dec 27 23:50:03 IST 2024","skipped","Fri Dec 27 23:50:03 IST 2024","","InvoiceCreatNewfolder.spec.js","",""
"","0","Vendor","webkit","Fri Dec 27 23:50:03 IST 2024","skipped","Fri Dec 27 23:50:03 IST 2024","","Vendor.spec.js","",""
"","0","11 folder total rows","chromium","Fri Dec 27 23:50:03 IST 2024","skipped","Fri Dec 27 23:50:03 IST 2024","","InvoiceCreatNewfolder.spec.js","",""
"","0","9.verify the tabs  - Pending review, Approved, Rejected, Needs Attention, Completed, Duplicate and Failure","firefox","Fri Dec 27 23:50:03 IST 2024","skipped","Fri Dec 27 23:50:03 IST 2024","","InvoiceCreatNewfolder.spec.js","",""
"","0","6. Click and open the folder","webkit","Fri Dec 27 23:50:03 IST 2024","skipped","Fri Dec 27 23:50:03 IST 2024","","InvoiceCreatNewfolder.spec.js","",""
"","1","3.Verify the creat new folder","chromium","Fri Dec 27 23:50:03 IST 2024","skipped","Fri Dec 27 23:50:03 IST 2024","","InvoiceCreatNewfolder.spec.js","",""
"","0","14.Verify the filters - date imported","webkit","Fri Dec 27 23:50:03 IST 2024","skipped","Fri Dec 27 23:50:03 IST 2024","","InvoiceCreatNewfolder.spec.js","",""
"","0","7(d). Invoice with vendor name not detected","webkit","Fri Dec 27 23:50:03 IST 2024","skipped","Fri Dec 27 23:50:03 IST 2024","","InvoiceCreatNewfolder.spec.js","",""
"","117403","2.Verify the creat new folder button","chromium","Fri Dec 27 23:50:16 IST 2024","passed","Fri Dec 27 23:52:13 IST 2024","","InvoiceCreatNewfolder.spec.js","",""
"","0","5. Verify edit and delete folder on the folder card","firefox","Fri Dec 27 23:50:03 IST 2024","skipped","Fri Dec 27 23:50:03 IST 2024","","InvoiceCreatNewfolder.spec.js","",""
